inputName,size,arr[size]
values_14,27,"{-5455932928893388062, 4200021816004218376, 7307600566647177905, 1379914491550872450, 5918159392916656312, 6864576700230731895, -7318511034010228350, -6272983098715018000, 8070622484737270859, 6758121608953799975, -4603447287221509410, -8293869394424414319, 5074712746395942523, 6659074606911053826, 3388679939645284264, -4465688247251789860, -6402182797302032276, 5185334029771560029, 8368241343901125955, 7461922266738721577, 56945573383278969, -502456175153299960, 6020047964593030861, -287639193794906129, -8262168234014991508, -2277889881755416790, 1502614342361617968"
values_28,2,"{6206934571631635633, 5063549555130053325"
values_16,31,"{-8045158497420302310, -6516915621878083524, 3141779241666171782, -2886533883976153929, -7005217987782279690, -7036727959650178395, 5942108449617787376, 225575690081098513, -3048910446927945404, -9177437973605575733, -1763863043456865596, 2094490921240854643, -1890003475377871149, -8039207101350427810, -6292548223186274792, -1284859206086847557, -1262123016228546524, -8480332676579140635, 7258682029195471302, -2051685968716580198, -879917064687348637, 7994759114739288983, -2946716221676643071, 1449610230959306606, 3657039944328028768, 6275693873866659895, -2494008243747772676, -107577675979171951, 2411844807753195381, -1624977004674473978, -3191862686264454326"
values_34,22,"{-7131162041093282850, 5841429379542966177, -3333383128867984722, 814132492119183730, 5249446574124703678, 4657215335966640134, -7361015027982116261, -1529430100971981362, 7768040015635937406, -2863005547279234922, -7422956955170399833, -6586253549262150118, 6472515743630599721, 5960212670618574903, 6130452430236374262, 6673148020478936457, -23716906516377705, -1460613712018383967, -5941672403753344675, -4393256559355346774, -3129567056765070137, 4368566927258112362"
values_82,2,"{-1325608377966089303, -6539259104894643930"
values_46,11,"{-4053480942922888145, 460897919409742279, -1568522046049437477, -1916195260413902428, 5851052272464622490, -8521718589661435998, -1664445674536267675, 942895685441493986, -9134009387807367226, -5202108014034092022, -6597659621504042974"
values_27,8,"{5994169820967998401, -3058724051352583131, -8446574281910048288, -7965162957765774573, 8396235626514093144, -7574204851084925643, -9065155842963038295, 2498028868547271166"
values_20,10,"{-3173861954379389434, 3614045325069939359, -7325339677633600835, -5895613215523322706, 3250583465775119249, -4182028060114466633, 4220513861345376543, -7710886918680031355, 6695455747239920247, -3678582193876571490"
values_9,18,"{3585588568068651584, 8964762864424792211, 6120056963698430946, -4353562987797231569, -6580559589917258897, -5012087534075765145, 5352845437657239117, -3087927777727023793, -5283544073583625648, 4778324343960875165, 2744366946939042602, -5010556923795026588, -7167292317335281139, 1303371612104760220, 1671259382963392753, 5062966355613046048, 8110279201708906553, 8649082331458233964"
values_92,7,"{-3215120781036040180, -2059501878840288583, 8990583653627799177, 4859368613280002340, -1668024669967216561, -647760372728721138, -2026949877127715090"
values_3,19,"{8219418040597138214, 4513170871447391077, -8622725905780366880, -4521201107285078604, -5912400468151721572, 40604439398610166, 3319231251784809205, -4649312375749983298, -4057212586668432201, -3980717500263132458, -8994295279964120840, -6462848070405625133, -35653594608977522, 290723296922306028, -8436111730336691623, 2016597969905854186, -5853359961066361090, 7025502316834577463, 6969677410150546459"
values_98,6,"{1757876637674753308, 1918999545858605320, 2339756485901986088, -7977103217572750033, 7676828696591931366, 3528013158196206770"
values_29,17,"{-5573509263498598130, -8610568505027053998, -5970114197287840602, -6856238552552798831, 2254834667023022282, 8493388564213883906, -4942789833383133830, 4682407032683884692, 7083612396839639385, 5206567590827793262, -3657654175778319820, -5649645667721510842, 4831372948218715943, -4875838934390705379, -9105948198882706886, 4110924755488156577, 1221714398703829015"
values_80,2,"{-2606046730491403558, -6252938837818627962"
values_73,18,"{-5320451899300770048, 1479086326643235060, -5964617397545649171, 4961282145076569870, -4276254126724398880, -4709021658228150244, 9213948475509123372, -1494646501460346312, -3921489892746341592, -2084114501081893730, -5333643920347218303, -3897806550405865465, 5463658944590560776, -6375982327234534714, 7946652239851387955, 5262720783483719933, 6955540001663835466, 5385452625099506037"
